code,name,market,secid,date,open,close,high,low,volume,amount,amplitude,pct_chg,chg,turnover,meta_decimal,meta_dktotal,meta_preKPrice
688032,禾迈股份,1,1.688032,2025-11-03,107.82,108.74,108.95,105.09,13155,140836122.00,3.60,1.51,1.62,1.06,2,989,169.47
688032,禾迈股份,1,1.688032,2025-11-04,108.00,107.09,109.18,106.20,8140,87606133.00,2.74,-1.52,-1.65,0.66,2,989,169.47
688032,禾迈股份,1,1.688032,2025-11-05,105.80,110.05,111.27,105.69,17317,189093842.00,5.21,2.76,2.96,1.40,2,989,169.47
688032,禾迈股份,1,1.688032,2025-11-06,110.80,110.00,112.50,109.60,14034,155391602.00,2.64,-0.05,-0.05,1.13,2,989,169.47
688032,禾迈股份,1,1.688032,2025-11-07,109.66,111.74,112.40,108.50,15489,172189948.00,3.55,1.58,1.74,1.25,2,989,169.47
688032,禾迈股份,1,1.688032,2025-11-10,112.22,111.50,113.75,111.05,14176,159339276.00,2.42,-0.21,-0.24,1.14,2,989,169.47
688032,禾迈股份,1,1.688032,2025-11-11,111.90,114.75,117.98,111.90,25541,295631711.00,5.45,2.91,3.25,2.06,2,989,169.47
688032,禾迈股份,1,1.688032,2025-11-12,114.55,111.03,115.95,109.90,16099,180057713.00,5.27,-3.24,-3.72,1.30,2,989,169.47
688032,禾迈股份,1,1.688032,2025-11-13,111.42,114.41,116.00,111.40,17774,202964407.00,4.14,3.04,3.38,1.43,2,989,169.47
688032,禾迈股份,1,1.688032,2025-11-14,113.00,116.31,119.60,112.60,29425,345272832.00,6.12,1.66,1.90,2.37,2,989,169.47
688032,禾迈股份,1,1.688032,2025-11-17,115.62,114.54,115.99,113.00,17414,198999328.00,2.57,-1.52,-1.77,1.40,2,989,169.47
688032,禾迈股份,1,1.688032,2025-11-18,113.82,110.50,114.99,109.86,14826,164883636.00,4.48,-3.53,-4.04,1.19,2,989,169.47
688032,禾迈股份,1,1.688032,2025-11-19,110.50,108.03,111.50,107.02,12070,130828666.00,4.05,-2.24,-2.47,0.97,2,989,169.47
688032,禾迈股份,1,1.688032,2025-11-20,108.29,105.59,109.29,105.05,9745,103972277.00,3.92,-2.26,-2.44,0.79,2,989,169.47
688032,禾迈股份,1,1.688032,2025-11-21,103.95,100.28,104.73,100.08,12273,125272245.00,4.40,-5.03,-5.31,0.99,2,989,169.47
688032,禾迈股份,1,1.688032,2025-11-24,101.14,100.37,101.14,99.46,6648,66720370.00,1.68,0.09,0.09,0.54,2,989,169.47
688032,禾迈股份,1,1.688032,2025-11-25,100.67,100.89,102.14,100.00,6709,67843163.00,2.13,0.52,0.52,0.54,2,989,169.47
688032,禾迈股份,1,1.688032,2025-11-26,98.94,98.43,99.66,97.71,10934,107679722.00,1.93,-2.44,-2.46,0.88,2,989,169.47
688032,禾迈股份,1,1.688032,2025-11-27,97.80,97.94,99.28,97.23,7424,73158959.00,2.08,-0.50,-0.49,0.60,2,989,169.47
688032,禾迈股份,1,1.688032,2025-11-28,97.70,98.77,99.43,97.70,5542,54748659.00,1.77,0.85,0.83,0.45,2,989,169.47
688032,禾迈股份,1,1.688032,2025-12-01,99.63,99.33,100.21,99.19,5249,52251994.00,1.03,0.57,0.56,0.42,2,989,169.47
688032,禾迈股份,1,1.688032,2025-12-02,99.33,98.19,99.40,98.00,4542,44796452.00,1.41,-1.15,-1.14,0.37,2,989,169.47
688032,禾迈股份,1,1.688032,2025-12-03,97.88,97.55,98.46,97.26,3919,38309226.00,1.22,-0.65,-0.64,0.32,2,989,169.47
688032,禾迈股份,1,1.688032,2025-12-04,97.28,97.68,99.28,96.63,5550,54213235.00,2.72,0.13,0.13,0.45,2,989,169.47
688032,禾迈股份,1,1.688032,2025-12-05,97.85,98.65,98.85,96.80,4628,45353932.00,2.10,0.99,0.97,0.37,2,989,169.47
688032,禾迈股份,1,1.688032,2025-12-08,98.89,98.86,99.49,98.36,6468,64036320.00,1.15,0.21,0.21,0.52,2,989,169.47
688032,禾迈股份,1,1.688032,2025-12-09,99.19,96.97,99.19,96.85,7661,74953776.00,2.37,-1.91,-1.89,0.62,2,989,169.47
688032,禾迈股份,1,1.688032,2025-12-10,96.78,96.58,97.26,95.03,7227,69260958.00,2.30,-0.40,-0.39,0.58,2,989,169.47
688032,禾迈股份,1,1.688032,2025-12-11,95.78,95.34,97.30,95.23,6051,58341351.00,2.14,-1.28,-1.24,0.49,2,989,169.47
688032,禾迈股份,1,1.688032,2025-12-12,95.54,96.25,97.85,95.54,13647,132077010.00,2.42,0.95,0.91,1.10,2,989,169.47
688032,禾迈股份,1,1.688032,2025-12-15,96.57,97.07,98.78,96.26,11084,108195833.00,2.62,0.85,0.82,0.89,2,989,169.47
688032,禾迈股份,1,1.688032,2025-12-16,96.91,94.58,97.70,94.57,6816,65071546.00,3.22,-2.57,-2.49,0.55,2,989,169.47
688032,禾迈股份,1,1.688032,2025-12-17,94.58,96.10,96.47,93.55,7124,67722684.00,3.09,1.61,1.52,0.57,2,989,169.47
688032,禾迈股份,1,1.688032,2025-12-18,95.60,95.01,96.32,95.00,4969,47474154.00,1.37,-1.13,-1.09,0.40,2,989,169.47
688032,禾迈股份,1,1.688032,2025-12-19,95.65,96.00,96.14,95.03,4084,39160369.00,1.17,1.04,0.99,0.33,2,989,169.47
688032,禾迈股份,1,1.688032,2025-12-22,96.10,95.75,96.69,95.65,4589,44118369.00,1.08,-0.26,-0.25,0.37,2,989,169.47
688032,禾迈股份,1,1.688032,2025-12-23,95.56,94.91,95.66,94.76,3737,35551365.00,0.94,-0.88,-0.84,0.30,2,989,169.47
688032,禾迈股份,1,1.688032,2025-12-24,94.83,96.00,96.19,94.30,4806,45977290.00,1.99,1.15,1.09,0.39,2,989,169.47
688032,禾迈股份,1,1.688032,2025-12-25,95.60,96.66,96.74,95.60,4619,44506531.00,1.19,0.69,0.66,0.37,2,989,169.47
688032,禾迈股份,1,1.688032,2025-12-26,96.38,97.57,98.80,96.38,9922,97136644.00,2.50,0.94,0.91,0.80,2,989,169.47
688032,禾迈股份,1,1.688032,2025-12-29,97.91,99.20,99.85,97.34,10986,108503302.00,2.57,1.67,1.63,0.89,2,989,169.47
688032,禾迈股份,1,1.688032,2025-12-30,99.00,101.86,104.20,98.61,17310,177047068.00,5.64,2.68,2.66,1.40,2,989,169.47
688032,禾迈股份,1,1.688032,2025-12-31,101.53,100.79,101.86,99.80,7997,80492330.00,2.02,-1.05,-1.07,0.64,2,989,169.47
688032,禾迈股份,1,1.688032,2026-01-05,101.10,101.24,102.59,100.41,7876,79861627.00,2.16,0.45,0.45,0.63,2,989,169.47
688032,禾迈股份,1,1.688032,2026-01-06,101.05,104.22,105.00,101.01,13327,137870970.00,3.94,2.94,2.98,1.07,2,989,169.47
688032,禾迈股份,1,1.688032,2026-01-07,104.16,103.46,104.63,102.90,10032,103784359.00,1.66,-0.73,-0.76,0.81,2,989,169.47
688032,禾迈股份,1,1.688032,2026-01-08,103.46,104.00,105.20,102.43,10121,105285292.00,2.68,0.52,0.54,0.82,2,989,169.47
688032,禾迈股份,1,1.688032,2026-01-09,103.61,103.90,105.29,103.02,12654,131626358.00,2.18,-0.10,-0.10,1.02,2,989,169.47
688032,禾迈股份,1,1.688032,2026-01-12,103.00,104.40,104.94,102.76,13284,138401258.00,2.10,0.48,0.50,1.07,2,989,169.47
688032,禾迈股份,1,1.688032,2026-01-13,104.48,102.72,104.51,102.22,14412,148672025.00,2.19,-1.61,-1.68,1.16,2,989,169.47
688032,禾迈股份,1,1.688032,2026-01-14,102.90,102.40,105.25,101.25,19962,206729768.00,3.89,-0.31,-0.32,1.61,2,989,169.47
688032,禾迈股份,1,1.688032,2026-01-15,101.88,102.40,103.76,101.50,7377,75540626.00,2.21,0.00,0.00,0.59,2,989,169.47
688032,禾迈股份,1,1.688032,2026-01-16,103.00,103.12,103.98,102.21,11262,115961927.00,1.73,0.70,0.72,0.91,2,989,169.47
